21012, 40662, 43031, 18265, 29924, 30852, 84769, 61510, 36744, 11576
29808, 29353, 29107, 33768, 27053, 30438, 31141, 28851, 29058, 33627
8159, 15611, 9134, 8177, 19446, 9679, 9062, 17933, 7978, 7956
